Grade,Pace,GAP,NGP
45,8:00,1:52,0:17
32,8:00,,0:24
31,8:00,,2:15
30,8:00,2:32,2:20
25,8:00,2:56,2:47
20,8:00,3:29,3:23
15,8:00,4:20,4:12
10,8:00,5:29,5:17
8,8:00,5:59,5:47
6,8:00,6:31,6:19
4,8:00,7:03,6:53
2,8:00,7:35,7:27
0,8:00,8:00,8:00
-2,8:00,8:20,8:30
-4,8:00,8:43,8:55
-6,8:00,8:59,9:12
-8,8:00,9:08,9:21
-10,8:00,9:08,9:20
-15,8:00,8:30,8:41
-20,8:00,7:24,7:30
-25,8:00,6:17,6:15
-26,8:00,,6:01
-27,8:00,,3:54
-30,8:00,5:21,3:29
-45,8:00,3:49,2:02
10,5:00,3:25,3:18
10,6:00,4:07,3:58
10,7:00,4:48,4:37
10,9:00,6:10,5:56
10,10:00,6:51,6:36
10,11:00,7:32,7:15
10,12:00,8:13,7:55
